miRNA,BreastC,BreastC,BreastC,BreastC,BreastC,Control,Control,Control,Control,Control,BreastC,BreastC,HepatocelularC,BreastC,BreastC,ColonC,GallbladderC
hsa-miR-1226-5p,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,1
hsa-miR-1226-3p,2,0,20,55,129,3,65,57,34,102,94,22,41,54,68,71,29
hsa-miR-1227-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
hsa-miR-1227-3p,0,0,0,0,4,0,0,3,0,2,2,0,6,2,4,0,0
hsa-miR-1228-5p,0,1,3,0,16,0,2,3,0,0,5,0,0,9,5,23,0
hsa-miR-1228-3p,0,0,0,0,1,0,0,0,0,0,0,0,1,4,3,9,0
hsa-miR-1229-5p,0,1,7,7,25,1,6,3,47,1,13,9,6,12,23,139,7
hsa-miR-1229-3p,0,2,4,14,44,1,18,11,11,19,12,13,15,14,7,26,3
hsa-miR-1231,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0
hsa-miR-1233-5p,0,0,13,9,12,0,20,14,2,12,19,4,11,17,21,20,6
hsa-miR-1233-3p,0,0,1,2,0,0,4,1,0,3,0,0,0,0,7,3,0
hsa-miR-1234-3p,0,0,0,3,3,0,0,0,0,3,0,5,4,2,2,6,0
hsa-miR-1236-5p,0,0,0,0,0,0,0,0,2,0,4,0,5,3,0,0,0
hsa-miR-1236-3p,0,0,11,4,0,1,0,5,1,0,3,0,2,0,3,4,0
hsa-miR-1237-5p,0,7,152,40,170,31,75,2,46,216,103,15,101,567,218,526,101
hsa-miR-1237-3p,0,0,11,2,8,3,5,11,13,1,0,3,5,9,7,31,79
hsa-miR-1238-5p,0,0,0,0,12,0,3,0,5,3,2,0,3,4,0,34,0
hsa-miR-1238-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
hsa-miR-1200,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
hsa-miR-1202,0,0,0,0,0,2,0,0,0,0,2,0,0,5,3,0,0
hsa-miR-1203,0,0,0,0,0,1,0,0,0,2,0,0,1,0,1,14,4
hsa-miR-663b,0,0,0,0,2,0,1,0,0,0,0,1,1,0,22,3,0
hsa-miR-1204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1205,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
hsa-miR-1206,0,0,6,1,41,4,7,1,6,15,9,2,11,21,11,60,116
hsa-miR-1207-5p,0,0,8,0,1,2,3,1,1,1,0,1,1,2,0,1,0
hsa-miR-1207-3p,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1208,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0
hsa-miR-548e-5p,0,0,1,8,14,0,18,14,12,33,11,14,20,18,28,26,11
hsa-miR-548e-3p,0,0,0,3,5,0,0,2,4,9,5,1,1,0,3,0,3
hsa-miR-548j-5p,1,11,269,264,577,9,655,544,390,524,643,178,242,770,1041,503,187
hsa-miR-548j-3p,1,0,0,0,0,0,2,0,0,7,0,0,2,0,1,0,0
hsa-miR-1285-5p,0,1,0,1,0,0,0,0,2,0,0,0,1,0,2,0,3
hsa-miR-1285-3p,0,3,13,84,480,8,42,65,46,33,177,24,61,66,71,66,7
hsa-miR-1286,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0
hsa-miR-1287-5p,7,24,415,453,706,19,256,323,192,769,204,78,351,684,813,220,176
hsa-miR-1287-3p,0,0,0,2,8,0,0,0,3,5,2,0,6,5,4,0,0
hsa-miR-1289,0,0,0,0,2,2,0,1,0,3,0,1,2,0,0,0,0
hsa-miR-1290,6,16,302,200,1222,13,308,118,136,380,198,143,549,494,4511,6189,531
hsa-miR-1291,0,1,0,0,2,0,0,0,1,2,0,0,0,5,0,12,0
hsa-miR-548k,1,1,85,106,218,2,106,114,98,145,107,41,68,135,123,62,35
hsa-miR-1293,0,0,0,4,14,3,5,2,6,8,1,0,1,5,2,10,36
hsa-miR-1294,0,10,52,115,570,17,104,89,87,158,162,26,153,142,178,324,97
hsa-miR-1295a,0,0,0,0,0,0,2,0,0,1,2,0,1,0,0,0,0
hsa-miR-1297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1299,1,0,19,8,404,0,13,24,38,7,97,2,1278,60,175,597,17
hsa-miR-548l,0,2,18,36,154,1,102,50,91,59,123,16,42,58,108,31,28
hsa-miR-1302,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0
hsa-miR-1303,0,5,37,173,1143,8,228,128,154,382,237,52,347,392,389,248,101
hsa-miR-1304-5p,0,0,0,2,10,0,12,4,0,4,12,1,5,8,2,0,0
hsa-miR-1304-3p,1,3,134,162,266,6,90,112,109,366,124,59,158,143,277,193,68
hsa-miR-1305,0,0,0,0,0,0,0,0,5,1,2,0,2,6,0,27,0
hsa-miR-1243,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0
hsa-miR-548f-5p,0,0,0,0,0,1,0,1,3,1,0,1,0,0,0,0,0
hsa-miR-548f-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1244,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,4,0
hsa-miR-1245a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1246,1,8,72,84,266,2,65,30,47,238,50,31,95,82,1999,2540,135
hsa-miR-1247-5p,0,0,0,3,1,0,6,1,0,3,3,0,5,0,0,120,5
hsa-miR-1247-3p,0,0,0,0,0,0,4,0,0,1,0,0,2,0,0,0,12
hsa-miR-1248,0,0,0,0,3,0,3,0,4,0,0,0,0,0,0,0,0
hsa-miR-1249-5p,0,0,0,3,13,0,0,0,0,6,0,0,0,0,2,6,0
hsa-miR-1249-3p,0,3,34,47,65,4,46,58,44,45,31,16,15,74,44,32,21
hsa-miR-1250-5p,0,2,74,98,71,0,41,108,44,185,120,22,53,182,175,60,25
hsa-miR-1250-3p,0,0,0,0,0,0,0,0,2,0,3,0,0,0,2,24,0
hsa-miR-1251-5p,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1251-3p,0,0,0,0,5,1,4,1,0,0,0,0,0,0,1,22,1
hsa-miR-1253,2,0,13,9,19,3,0,0,4,5,3,1,4,6,7,4,0
hsa-miR-1255a,0,6,128,5,68,3,0,108,32,172,49,10,81,38,120,39,37
hsa-miR-1256,0,0,5,3,20,1,1,3,3,7,5,1,0,0,3,13,0
hsa-miR-1257,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
hsa-miR-1258,0,0,7,0,0,0,5,0,2,2,0,0,2,4,4,2,3
hsa-miR-1260a,0,0,0,30,11,2,29,28,19,18,17,2,21,62,17,28,6
hsa-miR-548g-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-548g-3p,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
hsa-miR-1261,2,11,93,297,378,16,96,209,99,63,197,52,29,148,145,48,0
hsa-miR-1262,0,0,0,0,5,0,0,0,1,0,0,1,1,0,1,5,0
hsa-miR-1263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-548n,0,0,5,18,47,3,51,19,31,110,19,8,50,32,40,8,9
hsa-miR-548m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1265,0,0,0,3,43,5,0,5,2,0,0,0,0,0,2,5,1
hsa-miR-548o-3p,0,0,0,4,0,0,0,2,3,2,1,0,0,0,4,0,0
hsa-miR-1266-5p,0,0,1,1,2,0,0,1,5,4,0,0,4,0,0,3,0
hsa-miR-1266-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1267,0,0,2,1,12,0,0,1,2,0,0,0,0,0,0,1,0
hsa-miR-1268a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1269a,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,3,0
hsa-miR-1270,1,3,32,46,173,6,68,25,45,68,62,8,67,67,81,67,37
hsa-miR-1272,0,0,0,0,0,0,3,0,0,1,0,0,3,0,0,0,0
hsa-miR-548h-5p,0,0,0,0,6,0,0,0,0,1,3,1,0,0,0,0,0
hsa-miR-548h-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1275,0,4,7,30,14,2,13,2,1,3,7,3,21,13,14,122,7
hsa-miR-1276,0,0,5,2,6,0,0,0,0,0,3,0,1,0,0,0,0
hsa-miR-302e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
hsa-miR-302f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1277-5p,0,0,5,21,88,2,94,18,97,477,62,41,78,123,79,38,45
hsa-miR-1277-3p,1,2,7,73,163,2,114,48,127,647,67,49,100,159,115,91,61
hsa-miR-548p,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,0
hsa-miR-548i,0,0,3,1,3,0,0,6,0,0,2,0,3,2,1,0,0
hsa-miR-1278,0,1,0,1,0,0,1,0,1,0,0,0,0,4,0,6,0
hsa-miR-1279,0,0,0,0,12,0,4,0,1,8,1,0,39,0,0,7,6
hsa-miR-1281,0,0,1,3,0,1,0,2,1,6,0,0,0,4,0,3,4
hsa-miR-1282,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,11,0
hsa-miR-1284,0,0,0,0,10,2,4,1,4,10,1,0,5,0,1,0,6
hsa-miR-1288-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1288-3p,0,0,0,4,0,0,3,2,2,0,11,2,1,7,0,6,0
hsa-miR-1292-5p,3,1,73,132,407,7,139,130,62,269,248,38,224,144,277,177,53
hsa-miR-1292-3p,0,1,9,4,12,1,7,3,11,6,3,0,5,17,59,74,9
hsa-miR-1252-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
hsa-miR-1252-3p,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
hsa-miR-1255b-5p,0,2,31,22,142,1,24,15,7,20,63,2,42,34,16,30,5
hsa-miR-1255b-2-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-664a-5p,11,36,624,782,1112,42,1005,932,690,1538,1027,223,926,934,1213,847,480
hsa-miR-664a-3p,1,4,44,62,94,1,65,84,103,125,131,49,39,87,55,39,9
hsa-miR-1306-5p,7,10,111,464,1312,43,305,330,332,931,370,135,549,698,671,612,301
hsa-miR-1306-3p,1,0,0,0,8,0,0,0,2,0,0,0,0,0,0,0,0
hsa-miR-1307-5p,0,0,1,33,58,0,10,4,8,70,14,15,10,22,35,12,25
hsa-miR-1307-3p,22,46,1033,1700,3989,99,609,829,488,1248,1074,215,947,1147,1867,918,310
hsa-miR-513b-5p,0,0,1,9,20,0,2,6,2,20,14,6,3,18,10,15,18
hsa-miR-513b-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-513c-5p,0,1,5,5,15,0,2,0,6,5,3,1,3,7,7,7,0
hsa-miR-513c-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1321,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
hsa-miR-1322,0,0,0,1,0,0,3,0,1,0,0,0,0,0,1,0,0
hsa-miR-1197,0,0,0,3,5,0,2,0,1,6,2,0,1,7,3,0,0
hsa-miR-1324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1469,0,0,11,2,77,0,12,1,9,4,2,1,6,8,52,76,23
hsa-miR-1470,0,1,0,0,0,0,0,0,0,1,2,0,2,1,0,3,0
hsa-miR-1471,0,0,0,3,31,0,12,0,4,0,1,0,2,0,0,1,8
hsa-miR-1537-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1537-3p,2,1,107,141,361,10,116,116,132,121,158,62,74,130,104,66,19
hsa-miR-1538,0,0,0,20,30,1,5,16,9,20,12,3,5,15,14,34,2
hsa-miR-1539,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
hsa-miR-103b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-320d,1,1,34,41,203,3,53,35,53,67,80,32,44,63,163,96,63
hsa-miR-1825,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
hsa-miR-1827,0,0,0,0,2,0,1,1,0,1,2,0,0,2,0,0,0
hsa-miR-1908-5p,84,105,2031,1260,2058,49,1595,1118,1409,1846,1540,337,1455,2761,4982,3010,832
hsa-miR-1908-3p,0,0,16,21,58,0,9,6,11,13,16,1,11,40,18,54,22
hsa-miR-1909-5p,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1909-3p,0,0,4,3,0,0,0,4,5,2,2,3,4,11,3,0,0
hsa-miR-1910-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
hsa-miR-1910-3p,0,0,0,1,11,0,0,0,0,10,7,0,2,1,2,11,1
hsa-miR-1911-5p,0,0,0,0,2,0,0,0,0,2,0,1,0,0,1,1,2
hsa-miR-1911-3p,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1912-5p,0,1,4,0,0,0,3,0,1,1,3,0,0,0,0,1,0
hsa-miR-1912-3p,0,0,0,1,22,0,2,1,2,6,2,0,0,0,1,0,0
hsa-miR-1913,0,0,0,1,18,1,1,0,0,0,1,0,1,9,6,34,0
hsa-miR-1914-5p,0,0,0,1,4,0,3,0,0,0,5,0,2,0,0,0,0
hsa-miR-1914-3p,0,0,0,3,6,0,0,0,0,1,0,0,1,7,0,0,4
hsa-miR-1915-5p,0,0,0,0,7,0,0,0,2,0,1,0,0,0,1,0,0
hsa-miR-1915-3p,0,0,0,2,8,0,3,0,2,1,0,1,1,4,7,9,0
hsv1-miR-H2-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsv1-miR-H2-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsv1-miR-H3-5p,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0
hsv1-miR-H3-3p,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
hsv1-miR-H4-5p,0,0,0,0,0,0,0,1,0,0,6,0,0,0,1,0,0
hsv1-miR-H4-3p,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0
hsv1-miR-H5-5p,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
hsv1-miR-H5-3p,0,0,0,3,2,0,0,0,2,0,1,0,1,0,0,2,0
hsv1-miR-H6-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsv1-miR-H6-3p,0,0,2,3,9,0,0,0,0,0,0,0,0,2,0,2,0
hsa-miR-1972,0,0,0,1,7,0,0,0,0,0,5,0,1,0,0,2,0
hsa-miR-1973,0,0,0,8,0,0,5,5,2,3,0,0,1,1,1,10,13
hsa-miR-1976,0,0,12,7,30,0,2,3,4,3,4,7,5,1,3,9,0
hsa-miR-2052,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
hsa-miR-2053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
hsa-miR-2054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-2110,2,24,233,304,1661,22,368,276,196,545,691,100,709,548,805,777,166
hsa-miR-2114-5p,0,0,0,1,0,0,1,0,0,3,0,0,1,0,0,0,0
hsa-miR-2114-3p,0,0,0,0,3,0,0,0,0,0,6,0,0,0,3,0,0
hsa-miR-2115-5p,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-2115-3p,0,0,0,0,1,0,5,0,8,9,1,1,0,0,9,15,9
hsa-miR-2116-5p,0,0,2,6,15,0,3,1,4,26,10,5,6,3,4,32,15
hsa-miR-2116-3p,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,0
hsa-miR-2117,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
hsa-miR-548q,0,0,6,3,18,1,1,1,0,0,4,0,2,3,4,16,0
hsv2-miR-H3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsv2-miR-H4-5p,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,4,6
hsv2-miR-H4-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsv2-miR-H2,0,0,3,2,8,0,0,0,0,1,0,0,0,0,0,0,0
hsa-miR-2276-5p,0,1,0,0,3,4,0,0,0,0,0,0,0,5,1,0,0
hsa-miR-2276-3p,1,0,12,35,47,0,31,33,21,64,27,9,27,23,54,51,7
hsa-miR-2277-5p,0,0,3,14,44,3,17,21,11,28,18,8,20,18,33,0,4
hsa-miR-2277-3p,0,0,0,2,11,0,0,4,1,5,5,0,2,1,4,4,6
hsa-miR-2278,0,2,47,42,60,6,26,43,10,79,22,11,64,37,46,18,8
hsa-miR-2681-5p,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0
hsa-miR-2681-3p,0,1,6,2,31,4,5,2,5,7,1,0,6,6,3,4,7
hsa-miR-2682-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
hsa-miR-2682-3p,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0
hsv1-miR-H7-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
hsv1-miR-H7-3p,0,1,0,0,20,1,7,2,0,2,6,0,3,4,5,22,0
hsv1-miR-H8-5p,0,0,1,0,3,0,0,0,4,0,0,0,0,0,0,0,0
hsv1-miR-H8-3p,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-718,0,0,3,3,0,0,5,0,1,2,0,0,3,2,5,14,9
hsa-miR-2861,0,0,0,2,8,0,2,0,7,0,0,0,0,0,2,7,3
hsa-miR-2909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsv2-miR-H7-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsv2-miR-H7-3p,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0
hsv2-miR-H9-5p,0,0,0,0,5,0,0,0,5,0,0,1,0,0,0,8,0
hsv2-miR-H9-3p,0,0,5,3,18,0,0,4,5,2,5,1,3,5,1,17,17
hsv2-miR-H10,1,0,12,25,89,3,38,20,32,23,16,3,33,51,44,82,5
hsv1-miR-H11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsv1-miR-H12,0,0,6,0,7,0,2,0,3,0,6,1,0,0,6,1,7
hsv1-miR-H13,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,4,0
hsv1-miR-H14-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsv1-miR-H14-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsv1-miR-H15,0,0,0,1,10,0,0,0,0,0,0,0,0,1,1,2,5
hsv1-miR-H16,0,1,0,0,2,0,0,0,2,0,0,0,0,0,4,9,0
hsv1-miR-H17,0,1,3,3,51,1,17,2,6,5,20,3,12,6,26,45,1
hsv1-miR-H18,1,0,2,19,54,1,29,5,9,20,18,1,20,7,39,61,54
hsv2-miR-H11-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsv2-miR-H11-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsv2-miR-H12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsv2-miR-H13,0,0,3,4,3,0,0,0,2,0,0,0,0,0,0,1,0
hsv2-miR-H19,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0
hsv2-miR-H20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsv2-miR-H21,0,1,0,2,27,5,1,3,25,4,12,1,9,7,4,11,18
hsv2-miR-H22,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,1,2
hsv2-miR-H23-5p,1,0,0,0,16,0,1,2,0,0,0,0,2,0,0,0,0
hsv2-miR-H23-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
hsv2-miR-H24,0,1,8,8,45,0,4,2,0,0,3,1,20,32,40,25,1
hsv2-miR-H25,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,3,0
hsa-miR-3115,0,0,0,1,0,0,0,3,1,1,1,0,0,0,0,0,0
hsa-miR-3116,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
hsa-miR-3117-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3117-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3120-5p,0,0,1,1,17,0,2,5,3,8,11,6,0,1,4,0,0
hsa-miR-3120-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3121-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3121-3p,0,0,0,0,4,0,0,1,5,3,0,0,0,0,0,0,0
hsa-miR-3122,0,0,0,0,17,1,6,0,1,1,1,0,3,0,0,0,5
hsa-miR-3123,0,5,131,192,291,4,297,226,331,151,158,40,184,122,296,264,76
hsa-miR-3124-5p,0,0,19,11,5,0,34,15,20,29,17,4,20,10,27,17,0
hsa-miR-3124-3p,0,0,0,2,16,0,2,0,0,3,9,1,0,0,1,12,4
hsa-miR-548s,0,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3125,0,0,0,0,4,1,1,6,5,2,0,0,1,4,1,4,7
hsa-miR-3126-5p,0,1,16,6,32,5,8,4,22,5,6,0,2,8,10,46,18
hsa-miR-3126-3p,0,0,1,0,0,0,0,2,0,0,0,0,3,0,0,15,9
hsa-miR-3127-5p,0,0,3,9,41,2,9,9,16,16,22,2,18,4,19,24,8
hsa-miR-3127-3p,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,6,0
hsa-miR-3128,0,1,0,0,22,0,0,0,3,0,0,0,0,3,0,5,0
hsa-miR-3129-5p,0,0,2,0,5,0,0,6,0,0,0,0,0,0,0,1,0
hsa-miR-3129-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3130-5p,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0
hsa-miR-3130-3p,0,0,0,1,2,0,0,0,0,2,1,0,0,0,3,0,0
hsa-miR-3131,1,0,19,0,37,5,1,1,1,1,1,1,4,0,2,12,6
hsa-miR-3132,1,0,0,0,0,2,0,0,1,0,0,0,0,3,1,9,1
hsa-miR-3133,0,0,0,4,16,0,3,0,4,7,4,0,2,9,1,6,13
hsa-miR-378b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
hsa-miR-3134,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0
hsa-miR-3135a,0,0,0,3,0,1,0,1,0,1,0,0,0,0,0,0,3
hsa-miR-466,0,0,0,2,0,3,0,2,3,0,9,0,2,0,0,7,0
hsa-miR-3136-5p,0,0,11,17,91,3,11,18,10,72,34,9,30,32,28,15,11
hsa-miR-3136-3p,0,0,0,0,1,0,0,0,0,0,4,0,0,4,0,0,0
hsa-miR-544b,0,0,0,90,0,0,67,1,65,304,0,0,0,106,109,0,0
hsa-miR-3137,0,0,2,2,0,0,1,0,0,1,0,0,0,0,0,0,0
hsa-miR-3138,0,4,8,12,45,5,12,19,17,5,25,3,14,37,11,58,7
hsa-miR-3139,0,0,0,2,8,1,0,1,2,4,3,1,5,1,2,0,0
hsa-miR-3140-5p,0,0,0,0,5,0,1,0,1,0,0,0,0,0,0,0,5
hsa-miR-3140-3p,0,0,0,8,38,2,12,11,8,16,26,6,16,20,23,12,0
hsa-miR-548t-5p,0,0,0,6,19,0,0,0,1,8,1,1,3,0,7,5,6
hsa-miR-548t-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3141,0,0,1,3,8,1,0,9,4,6,10,1,6,4,15,19,19
hsa-miR-3142,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0
hsa-miR-3143,0,3,26,109,581,9,54,69,55,181,138,28,106,76,130,77,16
hsa-miR-548u,0,0,0,2,0,0,2,0,0,4,0,0,0,0,0,0,0
hsa-miR-3144-5p,0,0,0,0,0,0,1,0,0,4,0,2,0,0,0,2,0
hsa-miR-3144-3p,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
hsa-miR-3145-5p,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0
hsa-miR-3145-3p,0,0,0,2,7,1,5,0,2,10,1,0,10,0,1,7,0
hsa-miR-1273c,0,0,0,5,13,0,3,1,0,1,2,0,5,6,2,0,0
hsa-miR-3146,0,1,0,2,0,1,2,4,0,1,0,2,5,2,1,2,0
hsa-miR-3147,0,0,2,3,20,1,1,0,0,0,0,0,0,0,3,12,7
hsa-miR-548v,0,0,0,0,0,0,0,0,9,0,0,0,0,0,10,0,0
hsa-miR-3148,0,0,0,0,0,0,1,0,4,0,0,0,3,0,0,2,0
hsa-miR-3149,0,0,0,2,13,0,10,0,1,3,0,1,4,2,4,4,0
hsa-miR-3150a-5p,0,0,0,2,6,1,8,7,1,11,7,0,5,2,7,0,0
hsa-miR-3150a-3p,0,1,13,9,6,0,4,6,0,15,11,3,3,1,10,10,0
hsa-miR-3151-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
hsa-miR-3151-3p,0,0,6,0,16,0,0,2,0,4,0,1,0,1,2,7,25
hsa-miR-3152-5p,0,0,1,2,0,1,0,0,0,0,3,0,0,0,0,1,2
hsa-miR-3152-3p,0,0,2,1,5,0,0,0,1,3,1,0,0,0,4,6,0
hsa-miR-3153,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0
hsa-miR-3074-5p,0,0,3,7,6,0,7,10,2,22,7,3,7,6,15,6,4
hsa-miR-3074-3p,0,0,0,3,19,0,2,1,1,7,3,0,5,1,4,2,0
hsa-miR-3154,0,0,7,10,9,0,5,13,8,17,13,3,5,19,26,19,9
hsa-miR-3155a,0,0,0,1,0,0,0,2,0,8,2,0,1,0,5,8,0
hsa-miR-3156-5p,0,0,0,0,1,0,0,1,0,0,1,0,0,1,3,16,0
hsa-miR-3156-3p,0,0,0,0,1,0,2,10,0,6,0,0,2,0,0,0,8
hsa-miR-3157-5p,0,3,16,35,196,3,31,35,36,138,76,15,79,96,94,51,25
hsa-miR-3157-3p,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0
hsa-miR-3158-5p,0,0,2,1,2,0,0,6,1,1,0,0,4,6,0,0,0
hsa-miR-3158-3p,0,0,0,12,83,5,5,7,0,15,43,5,12,12,2,5,5
hsa-miR-3159,0,0,0,4,6,0,0,2,1,5,1,0,0,1,0,2,5
hsa-miR-3160-5p,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0
hsa-miR-3160-3p,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0
hsa-miR-3161,0,0,0,0,34,0,0,0,14,0,0,0,16,19,0,0,0
hsa-miR-3162-5p,1,0,17,2,24,2,6,3,1,2,2,4,8,8,6,16,4
