miRNA,advanced adenoma plasma EV 1,advanced adenoma plasma EV 2,advanced adenoma plasma EV 3,advanced adenoma plasma EV 4,advanced adenoma plasma EV 5,advanced adenoma plasma EV 6,colorectal cacer  plasma EV 1,colorectal cacer  plasma EV 2,colorectal cacer  plasma EV 3,colorectal cacer  plasma EV 4,colorectal cacer  plasma EV 5,colorectal cacer  plasma EV 6,healthy donor plasma EV  1,healthy donor plasma EV  2,healthy donor plasma EV  3,healthy donor plasma EV  4,healthy donor plasma EV  5,healthy donor plasma EV  6
hsa-miR-340-5p,159,376,145,133,293,448,24,82,86,262,1126,5836,256,532,265,229,629,28
hsa-miR-342-5p,1198,1742,356,1613,1287,700,41,678,444,517,2206,3213,1904,2790,803,1219,4594,
hsa-miR-345-5p,332,277,89,379,156,545,4,110,55,403,839,208,749,1351,241,238,1492,32
hsa-miR-34a-5p,,,,,,84,,,2,,13,,2,,,,,
hsa-miR-34b-5p,,,,,,,,,,5,19,,,,,,,
hsa-miR-34c-5p,,,,,1,,,,1,23,587,5,,,,1,13,
hsa-miR-3605-5p,156,24,,63,82,,,72,,,,246,,,17,17,82,
hsa-miR-361-5p,352,1173,278,1305,565,178,,450,352,672,1924,4834,480,1549,319,823,2821,
hsa-miR-3611,,,3,,,,,,,1,2,,4,,,1,14,
hsa-miR-3613-5p,,,,,,,,,2,10,,,,52,,,13,
hsa-miR-3614-5p,71,,1,,23,1,,,,21,,,58,,,3,29,
hsa-miR-3615,13750,8530,1672,8114,958,5211,8,3468,1056,9075,12823,7038,14360,13451,4243,2503,8076,159
hsa-miR-3617-5p,,,2,,,1,,1,2,,2,,,,,1,,
hsa-miR-3619-5p,,,,,,,,,,4,,,,,,,,
hsa-miR-362-5p,,,,46,,,1,,9,,19,,110,85,,17,9,
hsa-miR-3620-5p,,,,,,,4,,,,,,,,,,,
hsa-miR-3622a-5p,,,,,,,,,,,12,,,,,,2,
hsa-miR-363-5p,2231,2470,750,1555,679,2554,19,841,332,3592,7816,7035,4598,5044,799,1238,8313,314
hsa-miR-3648,,,1,,,,,,,,,,,,,,,
hsa-miR-3652,,,,,,,,,,,6,,,,,,,
hsa-miR-3654,,,,,,,,,,,4,,,,,,,
hsa-miR-365a-5p,,,,,,,,,,15,36,,,,,,5,
hsa-miR-365b-5p,,,1,32,,4,,,2,20,61,1,12,,,8,12,
hsa-miR-3661,,,,,,,,,,2,,,,,,,,
hsa-miR-3667-5p,,,,,,,,7,4,5,,,3,,,4,,
hsa-miR-3675-5p,,,,,,,,45,5,30,,,,,,,30,
hsa-miR-3677-5p,16,,,,,,,,,1,,17,,,,,3,
hsa-miR-3679-5p,7,,2,66,,,,7,4,9,11,156,17,15,91,3,84,
hsa-miR-3680-3p,,,1,,,,,,,,,,,,,,10,
hsa-miR-3680-5p,,,4,,,,,,,,,,,,,,,
hsa-miR-3682-5p,,,4,,,,,4,1,4,22,,12,,,5,1,
hsa-miR-3685,,,3,,,,,5,,,3,,27,,,1,,
hsa-miR-3686,,,,,,,,,,,,,,,,1,,
hsa-miR-3688-5p,,,4,,,,,10,,18,,,52,,108,8,24,
hsa-miR-369-5p,23,16,9,113,,5,2,3,3,8,13,141,,39,,8,37,
hsa-miR-3690,,,,,,,,4,,56,,,24,508,,24,212,
hsa-miR-3691-5p,,54,2,68,,,,1,3,,16,,21,,24,,9,2
hsa-miR-3692-5p,,,,,,,,1,,1,6,,,,,,5,
hsa-miR-370-5p,30,1536,172,16132,357,226,31,234,935,213,190,759,688,1091,1306,804,1394,15
hsa-miR-371b-5p,,,,,,,,,,1,,,,,,,3,
hsa-miR-372-5p,,,,,,1,,,,16,,,,80,,,,
hsa-miR-374a-5p,10,,9,15,,,18,12,8,20,111,473,31,132,85,15,42,12
hsa-miR-374b-5p,,26,1,,1,10,19,1,4,21,15,89,22,32,,12,19,4
hsa-miR-374c-5p,,,,,,18,,,,,,,,,,,,
hsa-miR-375-5p,1736,770,458,1641,1241,2675,,283,121,1037,3007,1319,1035,2246,407,912,1249,3
hsa-miR-376b-5p,,,,,,,1,,2,,,,,,,,3,
hsa-miR-376c-5p,,,,,,,3,,1,,11,,,,,,,
hsa-miR-377-5p,,,,141,,1,1,2,1,,13,,,,,8,5,
hsa-miR-378a-5p,24319,17850,3209,40817,7324,10313,53,6076,3234,20076,30319,6524,28914,59324,19099,6859,35287,505
hsa-miR-378b,,48,,134,,,,,,,,,60,18,,,,
hsa-miR-378c,,932,,2366,,,,,100,406,,,1071,2685,,233,1325,
hsa-miR-378d,,,,,,,,,,,,,,889,,126,496,
hsa-miR-378e,32,4,1,5,1,1,,,,,3,,3,35,3,,37,
hsa-miR-378h,,,,,,,,,,,,,,8,,2,,
hsa-miR-378i,1794,1163,146,2706,534,618,,343,219,1354,2088,165,1989,3817,1996,466,2473,
hsa-miR-379-5p,,54,5,274,72,9,9,4,52,19,43,652,27,45,,33,56,6
hsa-miR-381-5p,1,27,53,701,,17,20,29,61,124,446,1070,114,147,,242,609,13
hsa-miR-382-5p,146,557,238,3027,10,103,1,131,272,99,481,689,341,157,91,338,621,10
hsa-miR-383-5p,,,,80,,,,,,,9,,,,,,,
hsa-miR-3909,35,,10,,1,,,14,2,32,118,26,45,4,,14,82,3
hsa-miR-3910,,,,,,,,,,2,4,,,,,,,
hsa-miR-3911,13,29,,,,,,1,1,1,,,,35,,,,
hsa-miR-3912-5p,,,,,,,,4,,4,9,1,,,,1,12,
hsa-miR-3913-5p,328,130,52,340,2,,,46,,118,446,198,182,166,,128,426,32
hsa-miR-3914,,,,,,,,,,4,4,,,,,,,
hsa-miR-3918,,,,,,,,1,,5,10,,,,,1,13,
hsa-miR-3920,,,2,,,,,2,,1,,,,,,,,
hsa-miR-3922-5p,,,1,58,,,,,5,15,21,,22,,,2,25,
hsa-miR-3928-5p,19,,3,183,1,,1,,12,15,,1,42,,,11,,3
hsa-miR-3934-5p,,,,,,,,,1,3,7,,,,,1,4,
hsa-miR-3939,,,2,,,,,,,2,12,,16,,,,11,
hsa-miR-3940-5p,,,7,,,,,4,,3,2,,23,,,2,,2
hsa-miR-3944-5p,,,,28,,,,,,4,16,,,,,2,8,
hsa-miR-3960,,256,57,,,947,,,,,,,,383,,,,
hsa-miR-409-5p,722,1250,1439,11086,963,676,7,1108,1800,950,1051,1727,1986,1234,1532,1755,1795,22
hsa-miR-410-5p,,,7,153,,,,1,,15,10,,,,,7,23,
hsa-miR-411-5p,,,7,,,3,3,8,4,3,39,39,23,,,14,56,6
hsa-miR-412-5p,,,,3,,1,,3,2,10,50,2,32,,2,5,21,
hsa-miR-421,72,40,20,,,,5,25,1,50,173,273,37,40,,13,67,3
hsa-miR-422a,,,,,,17,,,,,,,,,48,,,
hsa-miR-423-5p,994275,391043,65381,782532,162896,641450,591,117587,46023,175137,236660,85889,395412,560775,388338,193207,558014,10290
hsa-miR-424-5p,341,253,87,,157,481,,125,16,592,1856,761,765,486,,221,857,22
hsa-miR-4284,,,,,,,,,,,,,,,62,,,
hsa-miR-429,20,,,,,2,,,2,18,166,,,62,,12,8,
hsa-miR-431-5p,,41,14,,,92,,,21,13,8,218,29,81,,30,82,2
hsa-miR-432-5p,120,455,221,2655,362,522,5,393,931,113,236,1559,421,287,235,373,454,
hsa-miR-433-5p,20,124,38,569,121,2,2,45,39,30,62,72,64,41,,60,137,
hsa-miR-4421,,,,,,,,2,2,,,,,,,,,
hsa-miR-4422,,,,53,,,,3,8,6,,,17,,,6,,
hsa-miR-4424,,,,,,,,,,,,,,,,,6,
hsa-miR-4425,,,,,,,,,,,2,,,,,,7,
hsa-miR-4429,172,340,40,640,169,150,,75,33,82,188,19,242,280,162,24,81,
hsa-miR-4430,,,,,,,,,,,,,,,,,2,
hsa-miR-4433a-5p,7,,,131,,54,,,2,,,,,9,20,2,34,
hsa-miR-4433b-3p,2033,1857,205,3985,568,13751,,408,516,271,284,236,938,1846,5323,1249,5462,
hsa-miR-4433b-5p,2084,1905,382,4220,568,14011,39,497,642,350,331,,1105,1938,5572,1326,5708,62
hsa-miR-4435,,,,,,,,12,10,10,18,216,,,,,18,
hsa-miR-4436a,,,,,,,,3,,5,4,,,,,,3,
hsa-miR-4436b-5p,,,2,,,,,6,,,14,,,,,4,,
hsa-miR-4440,340,195,,,,,,30,,115,85,10,40,,,10,35,
hsa-miR-4444,14,,2,,,,,,4,,52,2,66,,,8,,
hsa-miR-4445-5p,,,,,,,,,,1,,,,,,,,
hsa-miR-4446-5p,106,238,72,529,140,2,,213,138,64,79,650,176,519,144,210,389,4
hsa-miR-4448,,24,,,,,,,,,,,,,5,,,
hsa-miR-4449,,,3,,,,,2,,2,9,,,,,6,,
hsa-miR-4453,,,,,,,,,2,,,,,,,,,
hsa-miR-4466,,,,,,,,,,,,,44,,,,,
hsa-miR-4467,29,32,,,,,,4,1,20,100,,112,,,,53,
hsa-miR-4470,,,1,41,,1,,,4,28,6,1,28,,,9,15,
hsa-miR-4473,,52,3,,,,,,,1,34,230,,,,3,9,
hsa-miR-4474-5p,,,,,1,,,,,,12,,55,,,3,11,
hsa-miR-4479,,,,18,,,,,,,1,,33,,,3,14,
hsa-miR-448,,,,,,,,,,,2,,,,,,,
hsa-miR-4482-5p,,,,,,,,1,,,,,,,,,,
hsa-miR-4485-5p,,,,,,,,,,1,,,,,,,,1
hsa-miR-4488,28,105,,92,250,121,,,,,,,,1421,,,,209
hsa-miR-4489,69,69,,20,,247,,11,2,21,16,115,,47,37,8,40,
hsa-miR-4491,,,,84,,,,,,12,,,,,,6,24,
hsa-miR-4492,,1,,,,,,,,,,,10,,,,,
hsa-miR-4498,,,,,,,,3,,,2,,,,,2,,
hsa-miR-449a,,,,,,1,,,,,,,,,,,4,
hsa-miR-449c-5p,,,,,,,,,3,,3,,,,,,,
hsa-miR-4503,,,,,,,,,,,3,1,,,,,,
hsa-miR-4504,,,4,,,,,3,1,22,31,,7,,,4,12,
hsa-miR-450a-5p,,,16,,,6,3,12,3,85,338,146,96,399,,102,368,34
hsa-miR-450b-5p,47,,,,,,1,3,,17,22,,,44,,4,5,
hsa-miR-4511,,,,,,,,,,,17,,19,,,4,2,
hsa-miR-4513,,,,,,,,,,,,,,88,,,,
hsa-miR-4515,,,,,,,,,,,,,,,,1,,
hsa-miR-4519,,,,,,,,,,3,,,,,,,,
hsa-miR-451b,,15,,,,,,,,,,,,,,,81,
hsa-miR-452-5p,15,236,,204,,,1,,28,,769,137,,83,12,,,8
hsa-miR-4520-5p,,,,,,,,,,,5,,,,,,,
hsa-miR-4522,,,,,,,,,,,,,,,,,8,
hsa-miR-4523,,,,21,,,,,1,,2,,,,,,,
hsa-miR-4525,,126,4,124,2,,,2,8,,,,,44,166,4,,
hsa-miR-4526,,,,37,,,,2,,,,,11,,,,2,
hsa-miR-4529-5p,,,,69,,,,,,,3,,,38,,2,5,
hsa-miR-4533,,,6,106,,,,,12,3,,,,,,7,16,
hsa-miR-4536-5p,,,,,,,,,,,24,,,,,,,
hsa-miR-454-5p,,,,,,,11,,,,,148,,,,,,
hsa-miR-455-5p,,,9,,,7,,,1,59,571,1,6,,135,29,66,
hsa-miR-4632-5p,,,,,,,,,,,,,,,,,1,
hsa-miR-4635,,,,,,,,2,,,,110,,,,,,
hsa-miR-4638-5p,,,2,42,,,,,,7,,,,,,2,2,
hsa-miR-4639-5p,,,,,,,,1,,,,,,,,7,,
hsa-miR-4642,,,,,,,,,,,,,,,,,1,
hsa-miR-4644,,,,,,,,,,,,,,66,,4,6,
hsa-miR-4645-5p,,,,,,,,,5,,4,,,,,,,
hsa-miR-4647,,,1,48,,,,6,,3,17,,21,,,3,23,
hsa-miR-4649-5p,,,,26,,,,,,,,,,,,,,
hsa-miR-4654,,,7,,,,,2,2,,8,,,,,44,11,
hsa-miR-4657,,,,,,,,3,7,5,7,,,37,93,,7,2
hsa-miR-4658,,,,,,,,2,,,6,,,,,3,,2
hsa-miR-4659a-5p,,62,,,,,,8,,46,36,2,,,,14,36,8
hsa-miR-4659b-5p,,84,6,,208,,,,8,12,,200,,86,,8,,
hsa-miR-4660,,,2,,,,,4,2,2,18,,14,,,,4,
hsa-miR-4661-5p,,68,4,114,,173,,6,1,29,40,1,33,,,10,22,
hsa-miR-4662a-5p,,,,,,,,,,,,,,,,,10,
hsa-miR-4663,12,,,,,,,,,,3,1,,,,,,
hsa-miR-4664-5p,,,6,,,,,8,2,10,12,,,,,,,
hsa-miR-4665-5p,,179,9,16,2,87,1,15,22,,15,,80,107,4,25,18,
hsa-miR-4667-5p,55,,1,,58,,,,,2,8,,14,26,24,2,18,
hsa-miR-4669,,108,,,,,,,,1,5,129,11,,,55,14,
hsa-miR-4671-5p,,,,,,,,,,,,,,4,,,,
hsa-miR-4672,,,,,,,,1,,,8,66,,,,2,4,
hsa-miR-4673,,,,,,,,,,,,,,,,1,,
hsa-miR-4676-5p,,11,,,,,,,2,4,4,,2,,,,4,
hsa-miR-4677-5p,,,10,,,,,14,,14,42,360,24,20,,12,66,
hsa-miR-4682,,,,,,,,,,,3,,,,,,,
hsa-miR-4683,,,4,,,,,9,2,20,81,,16,84,,,4,
hsa-miR-4685-5p,,,17,,,,,,,,55,,,,,,,
hsa-miR-4686,,,2,,,,,,,,14,,,,,1,,
hsa-miR-4687-5p,,,,,41,,,,,,,,,,,,,
hsa-miR-4689,,,,,,,,,,1,,,,,,,,
hsa-miR-4690-5p,,,,,,,,,,,11,,14,40,,1,3,
hsa-miR-4697-5p,,,,,,,,,,9,,20,20,,,,,
hsa-miR-4698,,,,,,,,,,,4,,,,,,,
hsa-miR-4700-5p,,,,,,,,,,,4,,,,,,8,
hsa-miR-4705,,,,,,,,,,,3,,,,,,,
hsa-miR-4706,,,,,,,,,,,,,9,,,,,
hsa-miR-4707-5p,,,,,,,,,,,,,,,,13,,
hsa-miR-4709-5p,,,1,46,,,,,,,,,,,,,2,
hsa-miR-4710,,,,,,,,,,,,,,,,2,,
hsa-miR-4714-5p,,,,,,,,,,,4,,,,,2,5,
hsa-miR-4715-5p,,,,,,,,,,,3,,,,,,,
hsa-miR-4716-3p,,,,56,,,,,,,,,,,,,1,
hsa-miR-4716-5p,,,,56,,,,,,,,,,,,,1,
hsa-miR-4721,27,,,,,,,,,,,,,,,2,,
hsa-miR-4722-5p,,,,,,,,,2,,,,,,,,,
hsa-miR-4723-5p,,50,,,,38,,,2,,3,,,,,3,,
hsa-miR-4724-5p,,,,,,,,,,,8,,,58,,4,,
hsa-miR-4725-5p,,,,,,,,,,,3,,,,,,,
hsa-miR-4726-5p,32,,6,,,,,,,6,,,16,,234,10,16,
hsa-miR-4727-5p,,,,,,,,,,,10,,,56,,,2,
hsa-miR-4728-5p,,,,,,,,1,,,,,,,,,,
hsa-miR-4731-5p,,,,,,,,,1,11,4,,5,,,5,,
hsa-miR-4732-5p,3417,,,995,600,3300,,1074,,1612,2616,,,,1247,,1033,17
hsa-miR-4733-5p,,,,,,,,,,,,,,,,6,,
hsa-miR-4738-5p,19,,4,,64,,,,3,8,35,,18,53,,4,19,
hsa-miR-4741,,,,,93,,,4,1,1,7,,,,,,,
hsa-miR-4742-5p,,46,,,,,,12,3,12,29,92,27,,,14,8,
hsa-miR-4743-5p,,64,2,92,,,,2,12,8,20,,,,,4,30,
hsa-miR-4745-5p,32,,5,51,,,,,1,,,,,,,5,18,
hsa-miR-4746-5p,11,96,12,57,,305,,42,5,60,101,,106,28,,12,96,
hsa-miR-4747-5p,,,4,,,,,,,,,,,,,,,
hsa-miR-4748,,,1,,,,,,,2,2,,,,49,,,
hsa-miR-4749-5p,,,,,,,,,,2,3,,,,,,,
hsa-miR-4750-5p,41,113,5,69,,177,,1,11,,22,1,18,,,9,5,
hsa-miR-4751,,,,,,,,,,,,,11,,,,,
hsa-miR-4753-5p,,,,49,,,,2,,5,16,,,34,,2,6,
hsa-miR-4754,,,2,,,,,,,,,,,56,196,2,4,
hsa-miR-4755-3p,15,,,,39,,,,,,,1,,,,,,
hsa-miR-4755-5p,30,270,2,132,78,,,55,14,32,160,2,20,184,58,39,83,
hsa-miR-4757-5p,,,,,,,,,,,,,,8,,8,4,
hsa-miR-4762-5p,,,,,,,,,2,4,3,,,,,,6,
hsa-miR-4763-5p,,,,,,,,,,,2,,,,,,,
hsa-miR-4765,,,,,,,,,2,,6,,,,,,,2
hsa-miR-4767,,,,,,,,2,,,,,,,,2,6,
hsa-miR-4772-5p,,,,,,,,,,11,,30,,,,,6,
hsa-miR-4773,,,4,,,,,10,,10,19,,,,,,4,
hsa-miR-4774-5p,,,,,,,,,1,,,,,,,,,
hsa-miR-4777-5p,,,,,,,,,,,,,,,,,7,
hsa-miR-4779,,,,,,,,,,,8,,,,,,,
hsa-miR-4781-5p,,,,,,,,,,3,,,12,,,2,8,
hsa-miR-4784,,,,,,,,,,8,,,7,24,,2,1,
hsa-miR-4785,,,2,,,,,,,,,,,,,,7,
hsa-miR-4786-5p,,,,,,,,,4,,,,,,,4,16,
hsa-miR-4787-3p,,,,,,,,2,1,,2,,,,,,,
hsa-miR-4787-5p,,,,,,,,2,1,,,,,,,,,
hsa-miR-4796-5p,29,,,,,,,,,,,,,,,,2,
hsa-miR-4797-5p,,,,,,,,,1,,,,,,,,,
hsa-miR-4800-3p,,49,6,,,,,,,,,,,,,,,
hsa-miR-4800-5p,19,49,7,33,,,,5,,,6,,,,,,,
hsa-miR-483-5p,1965,2309,72,3399,3509,697,,66,63,160,433,425,508,4590,1104,351,1101,
hsa-miR-484,4082,2704,2286,3536,1556,9078,36,2250,568,4458,14180,2662,10740,7298,2538,2382,8146,370
hsa-miR-485-5p,89,463,172,1135,7,253,2,164,203,136,446,62,316,431,77,223,228,
hsa-miR-486-5p,2363764,959550,699931,1564193,474452,3005301,431,1345037,351964,1988137,2877865,1536393,3218151,1109748,761772,606730,1298594,26432
hsa-miR-487a-5p,,38,7,79,,,,7,2,8,,,,15,,3,2,
hsa-miR-487b-5p,,,2,,,1,,,,,,38,19,,,6,8,
hsa-miR-490-5p,,,3,,,,,7,,9,7,,31,,32,,26,
hsa-miR-491-5p,45,,3,99,90,,3,1,10,3,6,,,28,,2,13,
hsa-miR-493-5p,17,267,51,912,64,37,16,34,262,39,88,2164,102,212,114,159,431,11
hsa-miR-494-5p,,,,38,,1,16,,3,,,,,,,,8,
hsa-miR-495-5p,,57,6,8,,10,9,16,16,17,89,1337,,9,,10,97,
hsa-miR-497-5p,,,,,204,,,,,6,58,2,,,,12,14,
hsa-miR-4999-5p,,,,,,,,,,2,,,,,,,6,
hsa-miR-499a-5p,,,7,78,,,,1,1,163,1070,638,37,,,20,111,
hsa-miR-5000-5p,,,,,,,,,,,4,,,,,,,
hsa-miR-5001-5p,30,,,,,,,6,1,,11,31,,37,,5,20,
hsa-miR-5003-3p,,,,,,,,,,,10,,,,,,,
hsa-miR-5003-5p,,,,,,,,,1,8,10,,,,,,1,
hsa-miR-5004-3p,,72,,,,,,,,,,,,,,,4,
hsa-miR-5004-5p,,72,,,,,,,,,,,,,,,4,
hsa-miR-5006-5p,,,,,,,,1,5,,2,,,,,1,,
hsa-miR-5009-5p,,84,18,,,,,,,14,28,,34,,,4,,
hsa-miR-500a-5p,,128,25,324,1,82,1,20,20,153,467,151,413,355,13,63,328,23
hsa-miR-501-5p,920,1268,210,1568,141,894,,393,138,1117,2514,422,3049,2844,725,566,2231,43
hsa-miR-5010-3p,33,,13,,,,2,,14,,,,,,120,13,20,4
hsa-miR-502-5p,44,167,28,257,1,144,1,21,21,175,482,240,353,323,25,53,317,23
hsa-miR-503-5p,26,55,14,105,136,168,,14,2,117,352,87,98,64,,44,236,
hsa-miR-504-5p,,31,,,,134,,2,3,3,16,,23,38,,10,,
hsa-miR-505-5p,164,245,55,246,282,162,5,100,61,119,287,1057,273,128,203,87,218,16
hsa-miR-506-5p,,,,,,,,,,1,,,,,,,,
hsa-miR-508-5p,,,,,,,,,,,8,,,,,,9,
hsa-miR-509-3-5p,,,1,,1,112,,,,4,120,,,,,,,
hsa-miR-509-5p,,,,,,,,,,,72,,,,,,,
hsa-miR-5090,,,1,,,,,,,,8,,,,,,,
hsa-miR-5094,,,,,,,,,,,,,,,,1,,
hsa-miR-511-5p,128,756,60,96,890,24,6,36,44,772,2692,2256,344,898,84,199,300,12
hsa-miR-512-5p,,,,,,,,,,,2,,,,,2,2,
hsa-miR-513a-5p,,,,,,,,,2,4,6,,,,,,,
hsa-miR-513c-5p,,,,,,,,,1,1,9,,,,,,,
hsa-miR-514a-5p,,,6,,,,,,,12,15,,60,,111,3,3,
hsa-miR-516a-5p,,,,,,,,,,26,4,,,,,,6,
hsa-miR-516b-5p,,,7,,2,,,,,302,86,,,,,4,22,
hsa-miR-517-5p,,,,,,,,,2,10,12,,2,,,,,
hsa-miR-517a-3p,,,,,,,,,1,,6,,2,,,,,
hsa-miR-5188,,,,,,,,,,,2,,,,,,,
hsa-miR-5189-5p,,73,3,107,,1,,25,18,2,60,100,40,90,,12,51,
hsa-miR-518a-3p,,,,,,,,,,,,,,,,,,2
hsa-miR-518b,,,,,,,,,,,,,,11,,,,
hsa-miR-518c-5p,,,,,,,,,,1,,,,,,,,
hsa-miR-518d-5p,,,,,,,,,,,,,,,,,,4
hsa-miR-518e-5p,,,,,,,,,,5,,,,,,,,
hsa-miR-518f-5p,,,,,,,,,,12,,,,,,,,4
hsa-miR-5192,,,,,,,,,,,,,,,,,4,
hsa-miR-5193,,,,,,,,12,9,13,3,1,10,,,1,,3
hsa-miR-5194,,,,,,,,,,,,,,,,2,,
hsa-miR-5196-5p,,,,,,,,,,1,3,,,,,,,
hsa-miR-519a-5p,,,,,,,,,,10,,,,,,,,
hsa-miR-519c-5p,,,,,,,,,,10,,,,,,,,
hsa-miR-520a-5p,,,,,,,,,2,1,,,,,,2,4,
hsa-miR-520c-5p,,,,,,,,,,33,,,,,,,,4
hsa-miR-520g-5p,,,,,,,,,,,,,,,,,8,
hsa-miR-522-5p,,,,,,,,,,,8,,,,,,,
hsa-miR-523-5p,,,,,,,,,,9,,,,,,,,
hsa-miR-524-5p,,,,,,,,,,,3,,,,,,,
hsa-miR-525-5p,,,,,,,,,,6,7,,,,,,,
hsa-miR-526a-5p,,,,,,,,,,11,,,,,,,,8
hsa-miR-526b-5p,,,,,,,,,,3,,,,,,2,,
hsa-miR-527,,,,,,,,,,,,,,,,,,4
hsa-miR-532-5p,869,1335,783,1338,328,1842,16,731,208,3448,9705,1055,4806,2802,1055,1664,5262,152
hsa-miR-539-5p,,,,,,,,,13,,,,,,,6,2,
hsa-miR-541-3p,39,,,,,,,,,,,,,,,,7,
hsa-miR-541-5p,39,,,,,,,,,,,,,,,,7,
hsa-miR-542-5p,,95,3,46,,,,8,,6,55,39,,24,,2,51,
hsa-miR-543,681,349,509,1757,63,372,3,714,560,522,952,4174,768,697,371,669,970,6
hsa-miR-544b,,,,,,,,,,1,,,,,,,,
hsa-miR-545-5p,,,,,,,,,,,,,,,,,2,
hsa-miR-548a-3p,,,,,,,,5,5,8,28,,36,,,11,32,
hsa-miR-548a-5p,,,,,,,,1,2,4,14,,8,,,7,16,
hsa-miR-548ac,,,,,,,,,,,7,,,,,,,
hsa-miR-548ad-5p,,,21,,,,,,,,96,,,,,,,
hsa-miR-548ae-5p,,,,,,,,,,30,384,,,,,,68,
hsa-miR-548ag,,,,,,,,,,,5,,,,,2,,
hsa-miR-548ah-3p,,,,,,,,,,,,,,,,,48,
hsa-miR-548ah-5p,,,12,,,,,,,,,,24,,,,,
hsa-miR-548aj-5p,,1,,,,,,,,,42,4,,,,,,
hsa-miR-548al,,,,,,,,,,1,,,16,,,,,
hsa-miR-548ap-3p,,,,,,,,,,,,,,3,,,,
hsa-miR-548ap-5p,,,14,39,,,5,43,35,,,496,,65,,90,,
hsa-miR-548aq-3p,,,,,,,,11,,,,,44,11,,,46,
hsa-miR-548ar-5p,,,,,,,,,,,,211,,,,,,
hsa-miR-548au-5p,139,,39,,,,1,39,24,113,267,1158,152,156,,,211,14
hsa-miR-548av-3p,,,,,,,,,,,21,150,,,,,,
hsa-miR-548av-5p,,81,29,,,,4,20,4,39,124,114,280,128,,45,125,24
hsa-miR-548aw,,,,,,,,,,4,,,,,,,,
hsa-miR-548b-5p,,,,,,,,,,,,,,,,,8,
hsa-miR-548ba,,,,,,,,,,,,,,,,,6,
hsa-miR-548e-5p,,7,2,89,,,,,1,21,37,,,30,,9,62,
hsa-miR-548f-3p,,12,,,,,,,,,,,,,,,,
hsa-miR-548g-5p,,,,,,,,,,,,102,,,,,1,
hsa-miR-548j-3p,,,3,39,,,,13,1,5,9,496,,,,12,31,
hsa-miR-548l,,,2,,,,,,3,,46,,31,,,4,,
hsa-miR-548q,,,6,,,,,,,,,,,,,,,
hsa-miR-548t-5p,,,,,,,,,,,7,,,,,,13,
hsa-miR-548x-5p,,,22,,,,,,,,,,,,,,,
hsa-miR-549a-5p,,,,,,,,,,,,,,,,2,2,
hsa-miR-550a-3-5p,551,370,250,1822,,504,,320,198,967,2205,628,1334,703,328,296,884,15
hsa-miR-550b-2-5p,87,75,,15,,,,6,6,,,,21,18,,18,48,
hsa-miR-551a,,,,,,,,1,,5,27,,,,27,,18,
hsa-miR-551b-5p,,,4,,,,,,,,,,,,,3,6,
hsa-miR-552-5p,,,,,,52,,,,,,,,,,,,
hsa-miR-556-5p,,,9,,,,,,3,2,13,170,,,,5,30,
hsa-miR-5571-5p,,,,,,,,2,,,13,,,,,,,
hsa-miR-5581-5p,,,1,,,,,,,8,,,12,,,,,
hsa-miR-5582-5p,,,,,,,,,,,,132,,,,,,
hsa-miR-5584-5p,,,1,,,,,8,,9,,,4,,,1,4,
hsa-miR-5587-5p,,,,,,,,,,3,,,,,,,,
hsa-miR-5588-5p,,,,,,,,,,,,,,,,,2,
hsa-miR-5589-5p,,,2,,,,,,1,,,,36,,,1,9,
hsa-miR-561-5p,,,,,,,,,,,,,,,,,8,
hsa-miR-5680,,,4,,,,,,,,,,,,,,,
hsa-miR-5684,,,,,,,,,,,,,,,,1,,
hsa-miR-5695,,,,,,124,,,1,,,73,,,,9,,
hsa-miR-5696,,,,,,,,,1,6,6,,,,,1,,
hsa-miR-5697,,,,,,,,,,,8,168,,,,,,
hsa-miR-5698,,,,,,,,1,1,,7,,7,,,2,9,
hsa-miR-5699-5p,11,,,,,,,,,,,,,,,,,
hsa-miR-5706,,,,,,,,,1,,,,,,,,3,
hsa-miR-572,,24,,,,,,,,,,,,,,3,,
hsa-miR-574-5p,21,43,10,135,,5,1,21,103,81,226,593,36,79,,55,130,9
hsa-miR-576-5p,,1085,162,,441,,,,191,561,1104,,,,,,846,18
hsa-miR-578,,,,,,,,,,8,8,2,,,,,,
hsa-miR-579-5p,,,3,88,,,,4,,7,3,,12,28,,1,5,
hsa-miR-580-5p,,,,,,101,,,,,8,,13,,,,4,
hsa-miR-581,,,,,,,,4,4,6,12,422,,,,,12,
hsa-miR-582-5p,,,,52,,,1,,,122,226,115,12,173,43,14,178,
hsa-miR-584-5p,355,1356,519,1466,324,1371,15,434,460,577,4062,2268,1669,888,538,852,2185,54
hsa-miR-589-5p,51,111,28,143,,,1,63,53,91,201,93,259,136,131,60,323,7
hsa-miR-590-5p,,,,,,,,,,,,109,,,,,1,
hsa-miR-592,,,,,,,,,,,6,,,,,,,
hsa-miR-597-5p,38,,12,,,,,14,14,30,12,,30,58,,16,48,
hsa-miR-599,,,,,,,,,2,,,,,,,,2,
hsa-miR-600,,,,,,,,,,2,,,,,,,,
hsa-miR-605-5p,,,,,,,,3,1,3,9,,,,,,7,
hsa-miR-607,,,,,,21,,,,,,,,,,,,
hsa-miR-610,84,18,38,,,,,59,15,133,68,,76,111,174,13,48,
hsa-miR-6131,,4,,,,,,,,,,,,,,,,
