Type,BreastC,BreastC,BreastC,BreastC,BreastC,BreastC,BreastC,BreastC,BreastC,BreastC,BreastC,Control,Control,Control,Control,Control,Control,Control,BreastC,BreastC,HepatocelularC,BreastC,BreastC,ColonC,GallbladderC
Sample_id,KS0001,KS0002,KS0003,KS0004,KS0005,KS0007_scarce,KS0008_scarce,KS0009,KS0010,KS0011,KS0012,KS0013,KS0014,KS0016_Lowqual,KS0017_Lowqual,KS0019,KS0021,KS0022,KS0023,KS0024,KS0025,KS0026,KS0027,KS0028,KS0029
hsa-miR-5680,0,5,0,2,1,0,0,0,0,0,6,0,0,0,1,0,0,0,2,0,0,0,0,5,0
hsa-miR-5681a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0
hsa-miR-5682,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
hsa-miR-548aw,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
hsa-miR-5683,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,4,9,0
hsa-miR-5684,5,37,74,32,10,0,0,9,7,0,11,0,14,0,2,1,1,11,2,1,6,8,13,16,0
hsa-miR-548ax,3795,6304,1564,6086,1214,11,14,496,997,57,1266,16,708,140,142,1120,538,2063,824,325,866,1257,1540,768,348
hsa-miR-5685,2,1,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
hsa-miR-5692c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-5687,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0
hsa-miR-5688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-5681b,0,0,3,4,0,0,0,5,0,0,5,0,0,0,1,0,4,0,4,0,0,0,0,0,3
hsa-miR-5689,0,0,16,0,2,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
hsa-miR-5690,2,6,8,13,2,0,0,1,4,1,0,0,6,0,0,2,0,1,0,0,0,0,1,2,0
hsa-miR-5691,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0
hsa-miR-5692a,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4666b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-5693,0,0,7,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,5,0
hsa-miR-5694,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0
hsa-miR-5695,10,13,0,4,9,0,0,0,6,0,30,2,4,0,0,0,4,0,4,1,9,4,6,4,0
hsa-miR-5696,5,6,1,1,3,0,1,0,0,0,7,0,0,2,0,0,1,1,5,0,0,0,3,0,0
hsa-miR-5697,0,6,0,2,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0
hsa-miR-5698,33,57,28,62,17,0,1,34,21,2,7,0,16,1,1,22,13,20,8,4,9,60,31,12,2
hsa-miR-5699-5p,4,1,11,5,1,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,2,0,0,6,0
hsa-miR-5699-3p,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-5700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-5701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-5702,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
hsa-miR-5703,3,0,29,1,2,0,0,5,5,1,15,1,2,5,0,1,0,0,0,0,0,0,0,2,0
hsa-miR-5692b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-5704,0,5,0,0,0,0,0,0,0,0,0,1,4,0,0,0,2,0,0,0,0,0,3,2,1
hsa-miR-5705,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
hsa-miR-5706,1,7,14,0,9,0,0,0,2,2,6,0,1,0,0,0,1,2,4,0,6,2,4,9,0
hsa-miR-5707,0,6,12,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,1,0,0
hsa-miR-5708,0,1,0,8,14,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,2,0,0
hsa-miR-5739,7,18,20,7,8,0,1,2,0,0,18,4,6,0,0,4,5,4,1,0,0,7,12,23,17
hsa-miR-5787,11,11,0,27,9,0,0,8,2,0,36,0,0,0,0,5,3,5,0,1,8,5,1,8,11
hsa-miR-1199-5p,1,4,12,29,2,0,0,0,1,1,1,0,1,0,0,3,0,3,0,0,1,1,1,9,6
hsa-miR-1199-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
hsa-miR-6068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
hsa-miR-6069,0,0,4,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,1,3,0
hsa-miR-6070,2,3,0,4,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,3,0,0,0
hsa-miR-6071,0,0,1,0,2,0,0,0,0,0,3,0,2,0,0,0,0,0,0,2,0,0,0,1,0
hsa-miR-6072,2,3,5,21,0,0,0,0,0,0,7,0,0,0,0,0,2,0,3,0,7,0,1,0,0
hsa-miR-6073,30,72,58,54,15,2,8,34,83,0,106,3,50,23,20,66,45,60,46,2,34,102,82,33,45
hsa-miR-6074,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6075,1,4,23,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,3,0,0,0,1,17,0
hsa-miR-6076,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,2,1,0,0,5,0,0
hsa-miR-6077,0,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2
hsa-miR-6078,11,33,113,80,4,0,0,0,8,0,2,0,5,1,0,1,1,6,0,4,8,2,8,1,0
hsa-miR-6079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6081,1,2,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6082,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6083,0,0,3,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6084,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6085,3,4,0,11,3,0,0,4,5,1,13,3,0,4,0,3,5,6,1,1,3,0,2,17,0
hsa-miR-6086,4,41,43,24,8,0,0,7,3,0,5,1,7,5,0,2,5,9,5,2,9,6,6,0,4
hsa-miR-6088,1,3,11,3,2,0,0,4,1,3,26,0,1,0,1,2,2,2,0,0,0,5,2,10,0
hsa-miR-6089,16,62,48,112,46,1,2,23,22,1,64,2,6,6,3,13,17,23,20,3,24,27,40,44,29
hsa-miR-6090,3,4,30,97,4,0,0,4,0,10,27,1,0,0,2,3,1,10,6,0,9,4,39,33,0
hsa-miR-6124,9,16,48,17,9,0,0,22,7,1,2,2,1,0,1,4,15,4,3,4,1,10,13,14,9
hsa-miR-6125,5,9,1,18,3,0,0,3,5,0,7,0,0,0,1,0,1,2,0,0,4,9,2,14,0
hsa-miR-6126,191,108,337,345,191,1,1,144,38,5,989,12,66,24,25,10,19,86,58,32,176,242,157,502,53
hsa-miR-6127,6,5,3,33,9,0,0,1,1,0,9,0,1,0,0,4,0,0,3,0,3,11,3,24,0
hsa-miR-6128,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-378j,5,1,3,11,4,0,0,0,0,0,6,0,0,0,2,0,8,0,2,0,1,0,0,3,10
hsa-miR-6129,3,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0
hsa-miR-6130,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,2,0,0,0,0,9,0
hsa-miR-6131,15,41,28,74,25,1,0,19,70,10,181,11,43,4,18,69,58,38,66,6,3,49,19,22,18
hsa-miR-6132,2,3,10,6,0,0,0,0,9,0,9,0,4,0,3,8,1,0,4,0,3,1,8,3,0
hsa-miR-6133,3,8,0,12,2,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0
hsa-miR-6134,6,0,9,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,8,12
hsa-miR-6165,1,1,18,2,0,0,0,3,0,0,0,0,2,0,0,0,6,0,2,0,0,2,3,9,3
hsv1-miR-H26,2,0,6,0,5,0,0,0,1,1,11,4,0,0,0,1,2,0,0,0,0,0,0,9,0
hsa-miR-6499-5p,0,0,8,0,0,0,0,0,0,3,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0
hsa-miR-6499-3p,0,1,3,7,5,0,0,0,0,1,0,1,0,0,0,4,0,1,0,2,0,0,0,20,6
hsa-miR-548ay-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-548ay-3p,12,17,1,25,3,0,0,0,3,0,1,0,1,1,0,2,0,10,6,1,6,0,1,0,1
hsa-miR-6500-5p,3,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
hsa-miR-6500-3p,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0
hsa-miR-548az-5p,101,148,41,190,26,0,0,8,21,0,21,1,14,1,3,27,20,78,24,7,22,31,17,37,10
hsa-miR-548az-3p,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6501-5p,2,5,6,6,4,0,0,0,2,0,4,0,0,0,0,0,2,1,0,4,0,2,1,0,0
hsa-miR-6501-3p,17,14,14,26,0,0,0,0,9,0,1,1,2,0,0,17,3,14,9,0,6,12,7,0,0
hsa-miR-6502-5p,9,13,12,6,3,0,0,0,3,3,7,1,1,0,1,12,3,9,6,2,4,3,3,10,0
hsa-miR-6502-3p,3,0,3,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,7,0,3,0,0
hsa-miR-6503-5p,1,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6503-3p,2,1,3,13,2,0,0,0,2,0,8,0,1,0,0,0,0,1,0,2,0,0,1,0,6
hsa-miR-6504-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
hsa-miR-6504-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0
hsa-miR-6505-5p,10,35,0,31,9,0,0,1,4,2,4,0,10,0,1,2,2,7,5,8,10,9,9,29,6
hsa-miR-6505-3p,2,1,6,28,5,0,0,8,0,1,2,0,4,7,1,0,3,0,0,0,6,5,10,3,7
hsa-miR-6506-5p,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,2,0,0
hsa-miR-6506-3p,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
hsa-miR-6507-5p,2,7,13,0,1,0,0,0,3,1,4,0,0,0,0,3,3,1,0,1,0,0,10,1,0
hsa-miR-6507-3p,1,4,4,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,2,1,0,0,7,5
hsa-miR-6508-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6508-3p,0,0,15,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
hsa-miR-6509-5p,0,10,0,3,3,0,0,5,4,0,0,0,0,0,0,1,4,4,6,0,2,7,0,0,0
hsa-miR-6509-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
hsa-miR-6510-5p,3,12,0,36,5,0,2,2,4,0,10,0,0,0,3,3,3,5,0,1,3,2,2,16,1
hsa-miR-6510-3p,2,0,0,6,3,0,1,8,0,0,16,2,6,0,0,1,3,0,10,2,0,2,8,9,12
hsa-miR-6511a-5p,3,2,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,4,3,0,0,0,2,0
hsa-miR-6511a-3p,19,13,20,34,5,0,0,6,11,0,27,1,6,0,2,10,6,13,16,4,11,14,7,9,0
hsa-miR-6512-5p,0,1,337,0,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,2,0,0,0,1,0
hsa-miR-6512-3p,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
hsa-miR-6513-5p,180,355,93,277,55,0,0,18,23,2,97,2,36,8,5,38,30,112,54,19,45,76,79,66,5
hsa-miR-6513-3p,63,149,62,151,77,0,0,15,23,2,115,5,29,5,12,30,23,71,17,18,48,28,25,38,19
hsa-miR-6514-5p,84,107,175,87,29,0,0,5,16,0,31,1,18,0,1,21,15,33,22,2,29,11,27,5,16
hsa-miR-6514-3p,2,2,4,1,5,0,0,0,1,0,7,0,0,0,0,0,3,0,0,0,0,0,3,0,0
hsa-miR-6515-5p,235,328,78,391,38,2,2,104,53,6,39,2,61,25,6,78,25,108,59,22,41,58,112,86,29
hsa-miR-6515-3p,0,3,11,6,1,0,0,0,0,0,18,0,1,0,5,0,0,3,4,0,0,0,2,2,3
hsa-miR-6715a-3p,0,2,7,52,2,0,0,5,0,0,0,0,44,0,0,0,0,3,82,8,0,10,0,0,0
hsa-miR-6715b-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6715b-3p,7,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0
hsa-miR-6716-5p,4,0,76,7,1,0,0,0,0,0,7,0,1,0,0,0,0,0,6,0,0,2,6,1,11
hsa-miR-6716-3p,0,6,19,0,2,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0
hsa-miR-6717-5p,1,6,11,21,1,0,0,5,6,3,34,3,6,0,0,6,1,7,5,4,5,5,1,39,8
hsa-miR-6511b-5p,6,13,12,21,0,1,0,0,3,0,11,3,2,0,0,1,10,6,3,1,1,6,9,9,0
hsa-miR-6511b-3p,44,41,43,78,16,1,0,4,26,3,37,1,28,9,10,15,25,33,18,3,29,31,24,26,9
hsa-miR-6718-5p,0,2,43,4,4,0,0,5,0,0,2,0,0,0,0,1,0,1,4,0,0,0,0,0,2
hsa-miR-6719-3p,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
hsa-miR-6720-5p,0,0,0,5,4,0,0,0,1,0,11,0,0,0,0,0,0,2,0,1,0,0,0,0,0
hsa-miR-6720-3p,2,0,10,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0
hsa-miR-6721-5p,61,54,53,128,69,2,6,115,33,3,46,1,20,5,4,9,23,73,42,10,71,61,54,78,57
hsa-miR-6722-5p,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0
hsa-miR-6722-3p,2,6,30,21,2,0,0,1,2,0,16,3,5,0,0,8,2,0,3,0,0,0,0,5,4
hsa-miR-6724-5p,119,162,344,268,74,0,1,28,20,0,184,14,40,7,3,22,17,58,54,9,65,102,118,322,41
hsa-miR-892c-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-892c-3p,1,0,0,8,0,0,0,5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,7
hsa-miR-6726-5p,1,4,0,7,0,0,0,5,1,0,0,0,0,0,0,3,0,0,2,0,1,0,4,7,0
hsa-miR-6726-3p,3,0,7,5,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0,1,1,1,0
hsa-miR-6727-5p,1,3,0,14,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
hsa-miR-6727-3p,7,5,2,24,12,0,0,7,0,0,8,0,0,0,0,1,0,5,3,1,4,3,12,1,0
hsa-miR-6728-5p,1,1,0,10,3,0,0,0,6,1,14,1,0,0,0,1,1,0,0,0,1,3,4,13,5
hsa-miR-6728-3p,5,2,0,8,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,1,10,13
hsa-miR-6729-5p,3,6,2,23,11,1,0,8,4,0,12,0,2,0,0,4,2,1,3,2,6,7,2,8,0
hsa-miR-6729-3p,7,16,26,13,5,0,0,6,1,1,13,0,3,0,6,0,2,5,0,2,2,1,5,16,3
hsa-miR-6730-5p,3,10,3,8,2,1,0,10,2,2,15,0,6,0,0,0,6,5,1,2,6,0,5,5,10
hsa-miR-6730-3p,0,0,12,0,0,0,0,0,0,1,9,0,0,0,0,3,0,0,0,0,3,0,2,0,0
hsa-miR-6731-5p,4,21,7,25,8,2,0,6,4,0,6,1,3,0,0,7,10,4,8,1,2,0,7,24,8
hsa-miR-6731-3p,8,4,0,19,0,0,0,0,2,0,0,0,2,0,0,4,0,1,1,0,0,0,13,13,5
hsa-miR-6732-5p,1,6,14,12,2,0,0,0,2,0,0,1,0,0,0,3,5,0,1,0,1,0,3,2,1
hsa-miR-6732-3p,2,5,9,8,4,0,0,3,3,0,9,0,3,0,0,2,0,1,7,1,5,3,7,25,2
hsa-miR-6733-5p,0,1,121,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0
hsa-miR-6733-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6734-5p,248,353,1174,458,90,2,2,85,79,4,169,7,84,5,10,40,72,102,133,13,110,108,226,258,58
hsa-miR-6734-3p,9,7,23,11,4,0,0,12,7,0,3,3,0,0,0,5,8,0,8,2,2,10,7,25,1
hsa-miR-6735-5p,94,133,69,138,20,2,1,17,26,4,113,1,34,0,5,17,36,50,34,11,20,48,52,58,25
hsa-miR-6735-3p,1,3,0,3,3,0,0,12,1,2,2,0,6,0,0,0,0,3,4,0,0,0,0,9,0
hsa-miR-6736-5p,35,46,19,51,12,0,0,3,6,1,20,0,3,0,0,11,9,12,8,2,13,6,23,4,7
hsa-miR-6736-3p,0,1,0,6,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0
hsa-miR-6737-5p,1,0,4,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0
hsa-miR-6737-3p,35,46,40,150,31,0,0,20,13,8,125,9,10,4,2,13,74,16,32,3,12,24,19,74,44
hsa-miR-6738-5p,9,5,0,14,4,1,0,3,2,1,2,0,0,0,0,4,0,1,0,0,2,6,2,0,0
hsa-miR-6738-3p,0,2,23,0,0,0,0,0,2,0,7,0,0,0,1,0,0,0,0,0,0,0,0,9,0
hsa-miR-6739-5p,6,15,37,22,17,0,0,6,4,0,12,0,2,0,1,0,0,0,2,1,4,9,6,4,5
hsa-miR-6739-3p,0,0,8,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6740-5p,2,11,8,19,63,0,1,7,6,0,9,0,0,0,0,2,0,0,3,0,5,6,9,16,0
hsa-miR-6740-3p,0,0,2,7,8,1,0,0,1,0,10,0,0,0,0,0,3,1,0,0,1,11,2,2,0
hsa-miR-6741-5p,25,40,29,69,18,0,0,6,2,0,24,1,19,0,1,5,8,19,8,2,39,12,32,8,12
hsa-miR-6741-3p,8,26,57,60,19,1,0,6,4,0,23,0,4,0,2,9,12,18,6,2,9,7,17,123,8
hsa-miR-6742-5p,0,0,0,8,1,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0
hsa-miR-6742-3p,0,2,0,51,0,0,0,3,0,0,0,0,0,0,0,1,0,0,2,0,0,4,0,0,0
hsa-miR-6743-5p,4,2,0,10,4,0,0,4,2,1,20,0,1,0,0,6,4,0,3,0,5,8,4,24,0
hsa-miR-6743-3p,14,5,21,0,13,0,1,14,1,2,44,2,2,0,0,6,3,1,4,0,0,5,5,36,11
hsa-miR-6744-5p,0,0,7,3,3,0,0,0,0,0,5,0,4,1,0,0,0,1,10,0,0,0,0,13,0
hsa-miR-6744-3p,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6745,3,0,54,0,2,0,0,0,1,0,14,0,1,0,0,0,0,0,0,0,3,0,0,1,0
hsa-miR-6746-5p,3,3,14,8,5,0,1,8,4,0,9,0,5,0,1,3,0,2,6,0,1,4,6,3,0
hsa-miR-6746-3p,1,4,1,6,3,3,1,5,8,0,1,2,1,0,0,0,6,0,0,2,1,6,10,35,11
hsa-miR-6747-5p,11,12,15,7,5,0,0,5,2,1,4,0,0,0,0,1,9,1,0,2,1,11,2,11,4
hsa-miR-6747-3p,1,2,15,3,0,0,0,6,1,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0
hsa-miR-6748-5p,4,24,2,12,9,0,0,1,4,0,11,0,6,0,0,0,6,1,5,4,0,0,10,7,1
hsa-miR-6748-3p,0,6,42,2,2,0,0,0,3,1,1,0,0,10,0,0,0,0,1,0,3,0,5,2,4
hsa-miR-6749-5p,5,14,10,12,3,0,1,0,1,1,15,1,0,0,0,2,5,4,0,0,1,5,3,7,4
hsa-miR-6749-3p,4,13,0,9,6,0,0,0,0,1,14,0,1,0,5,1,0,1,0,0,0,0,1,2,8
hsa-miR-6750-5p,20,18,36,41,19,0,2,0,14,0,111,0,3,3,1,0,14,11,8,1,26,1,14,34,5
hsa-miR-6750-3p,9,10,15,7,0,0,0,0,2,0,13,0,1,2,2,3,3,7,1,3,0,8,7,4,5
hsa-miR-6751-5p,15,28,3,40,8,0,0,7,2,4,24,5,4,0,1,7,3,6,4,1,5,22,14,5,2
hsa-miR-6751-3p,4,0,1,6,1,0,0,0,1,1,8,0,0,0,2,0,0,0,1,0,2,0,3,5,7
hsa-miR-6752-5p,0,4,4,6,1,0,0,0,0,0,17,2,0,0,0,0,2,2,0,0,7,0,0,6,6
hsa-miR-6752-3p,12,9,4,37,8,0,0,18,5,0,54,5,4,45,4,9,20,10,4,1,35,4,3,63,10
hsa-miR-6753-5p,16,19,13,44,4,0,0,7,4,0,12,0,7,2,3,8,0,3,0,1,4,2,13,0,0
hsa-miR-6753-3p,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6754-5p,8,22,4,9,7,1,0,1,2,0,0,0,3,0,0,9,2,5,3,1,2,1,1,13,0
hsa-miR-6754-3p,31,53,36,134,64,0,2,33,18,7,126,6,20,5,6,13,23,6,10,5,13,35,34,33,42
hsa-miR-6755-5p,6,6,0,4,0,0,0,0,0,0,5,0,1,0,1,1,2,0,0,0,3,0,3,0,0
hsa-miR-6755-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0
hsa-miR-6756-5p,6,11,41,12,17,3,1,4,4,1,26,0,7,0,2,1,6,5,2,0,6,1,32,21,3
hsa-miR-6756-3p,1,7,15,3,3,0,0,13,6,0,0,1,1,8,0,2,0,1,2,0,4,17,13,16,13
hsa-miR-6757-5p,0,0,8,8,1,0,0,0,1,0,0,0,2,0,0,1,0,2,0,1,0,0,0,0,0
hsa-miR-6757-3p,0,1,5,11,3,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0
hsa-miR-6758-5p,4,17,5,17,10,0,0,6,2,2,15,2,2,1,1,3,4,3,4,1,5,6,15,10,0
hsa-miR-6758-3p,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0
hsa-miR-6759-5p,4,2,0,5,0,0,0,1,4,0,11,0,0,1,0,1,0,3,1,0,3,0,1,8,0
hsa-miR-6759-3p,2,4,1,1,0,0,0,1,3,0,6,0,0,0,0,0,2,3,0,0,0,3,0,5,0
hsa-miR-6760-5p,13,26,57,60,11,0,1,21,6,2,37,5,2,0,0,9,42,15,6,3,4,11,21,8,23
hsa-miR-6760-3p,0,4,7,4,6,0,2,7,4,0,0,1,2,25,0,0,0,3,0,0,2,1,6,3,2
hsa-miR-6761-5p,1,1,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0
hsa-miR-6761-3p,0,0,4,0,1,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,2,0,1,3,0
hsa-miR-6762-5p,1,10,0,7,1,0,0,4,3,0,18,0,5,0,0,2,3,5,0,1,2,0,0,9,7
hsa-miR-6762-3p,3,2,2,6,6,0,0,17,0,0,7,1,4,0,0,3,3,0,0,0,3,0,2,0,0
hsa-miR-6763-5p,3,12,0,4,2,0,0,4,0,0,8,1,0,0,0,1,1,2,5,0,6,5,10,12,0
hsa-miR-6763-3p,0,4,9,14,0,0,0,0,0,1,0,0,5,0,0,0,0,2,0,1,1,0,5,4,3
hsa-miR-6764-5p,81,149,22,108,7,0,0,9,24,1,23,1,9,0,3,32,8,59,31,8,33,7,39,22,0
hsa-miR-6764-3p,2,1,6,1,0,0,0,3,0,0,0,0,3,0,2,0,3,1,1,0,0,3,0,0,0
hsa-miR-6765-5p,5,14,12,14,3,0,0,5,0,0,33,0,4,0,1,3,0,4,5,0,5,7,12,24,0
hsa-miR-6765-3p,940,4912,2060,934,761,0,0,3,100,17,352,12,357,29,6,150,230,262,98,46,100,1562,414,268,103
hsa-miR-6766-5p,0,1,20,0,2,0,0,1,0,0,0,0,3,0,0,2,2,0,0,0,2,0,0,0,11
hsa-miR-6766-3p,0,9,22,6,0,0,0,6,0,0,2,0,0,0,0,0,2,4,2,1,4,0,10,3,1
hsa-miR-6767-5p,21,46,5,60,3,0,0,0,2,0,31,0,12,0,1,8,1,4,4,0,7,4,10,0,9
hsa-miR-6767-3p,2,2,1,15,3,0,0,15,0,2,32,1,5,0,0,0,0,1,1,0,0,0,5,0,5
hsa-miR-6768-5p,3,4,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,2,3,1,0,5
hsa-miR-6768-3p,0,3,0,3,0,0,0,4,0,1,7,1,0,0,0,0,1,0,0,0,0,0,0,0,0
hsa-miR-6769a-5p,2,11,28,8,3,0,0,2,0,0,0,1,0,0,0,4,0,3,1,2,1,0,1,0,0
hsa-miR-6769a-3p,0,11,3,8,3,0,0,0,2,0,17,0,2,13,0,5,0,0,3,0,0,0,0,7,0
hsa-miR-6770-5p,4,5,11,2,3,0,0,1,8,0,9,0,7,0,3,4,5,2,23,3,3,3,3,0,9
hsa-miR-6770-3p,0,2,9,4,9,0,0,0,3,0,12,0,1,0,1,1,3,4,1,0,0,0,2,2,0
